dataset,clip_id,mode,epsilon,j,entropy,pixel_error
ssv2,125148,pure,0.4,32,1.9131314754486084,0.22495882213115692
ssv2,125148,pure,0.8,2,2.2489113807678223,0.26581060886383057
ssv2,125148,pure,0.8,4,2.17805814743042,0.2624809145927429
ssv2,125148,pure,0.8,6,2.1624975204467773,0.26007145643234253
ssv2,125148,pure,0.8,8,2.077618360519409,0.2552865743637085
ssv2,125148,pure,0.8,12,2.0621514320373535,0.25941064953804016
ssv2,125148,pure,0.8,16,1.9407198429107666,0.1968371421098709
ssv2,125148,pure,0.8,24,1.945680856704712,0.22179174423217773
ssv2,125148,pure,0.8,32,1.9101231098175049,0.225042462348938
ssv2,125148,corrected,0.0,2,2.2719614505767822,0.2718102037906647
ssv2,125148,corrected,0.0,4,2.2430505752563477,0.26853638887405396
ssv2,125148,corrected,0.0,6,2.225665330886841,0.26558905839920044
ssv2,125148,corrected,0.0,8,2.161001682281494,0.25959303975105286
ssv2,125148,corrected,0.0,12,2.171156167984009,0.2628723382949829
ssv2,125148,corrected,0.0,16,2.0386030673980713,0.2015688270330429
ssv2,125148,corrected,0.0,24,1.9607688188552856,0.22598125040531158
ssv2,125148,corrected,0.0,32,1.8953051567077637,0.22927118837833405
ssv2,125148,corrected,0.05,2,2.270490884780884,0.271952748298645
ssv2,125148,corrected,0.05,4,2.2424206733703613,0.2686648964881897
ssv2,125148,corrected,0.05,6,2.225562572479248,0.26575738191604614
ssv2,125148,corrected,0.05,8,2.1610794067382812,0.2597252428531647
ssv2,125148,corrected,0.05,12,2.171858787536621,0.26297590136528015
ssv2,125148,corrected,0.05,16,2.0387628078460693,0.2016718089580536
ssv2,125148,corrected,0.05,24,1.9663050174713135,0.2260620892047882
ssv2,125148,corrected,0.05,32,1.9076249599456787,0.22930662333965302
ssv2,125148,corrected,0.1,2,2.2708449363708496,0.2720261216163635
ssv2,125148,corrected,0.1,4,2.2416598796844482,0.2687091827392578
ssv2,125148,corrected,0.1,6,2.223846912384033,0.26569074392318726
ssv2,125148,corrected,0.1,8,2.1594960689544678,0.2596079111099243
ssv2,125148,corrected,0.1,12,2.1699767112731934,0.2629561126232147
ssv2,125148,corrected,0.1,16,2.0351662635803223,0.20166157186031342
ssv2,125148,corrected,0.1,24,1.9593994617462158,0.22615189850330353
ssv2,125148,corrected,0.1,32,1.8936402797698975,0.2294689267873764
ssv2,125148,corrected,0.2,2,2.276137113571167,0.27221623063087463
ssv2,125148,corrected,0.2,4,2.2461588382720947,0.2688276469707489
ssv2,125148,corrected,0.2,6,2.2280619144439697,0.26580870151519775
ssv2,125148,corrected,0.2,8,2.1644749641418457,0.2596417963504791
ssv2,125148,corrected,0.2,12,2.1784613132476807,0.2632600665092468
ssv2,125148,corrected,0.2,16,2.041902780532837,0.20204786956310272
ssv2,125148,corrected,0.2,24,1.9677287340164185,0.2260662317276001
ssv2,125148,corrected,0.2,32,1.899080514907837,0.22937555611133575
ssv2,125148,corrected,0.4,2,2.282195806503296,0.2718715965747833
ssv2,125148,corrected,0.4,4,2.2586042881011963,0.2686558961868286
ssv2,125148,corrected,0.4,6,2.2404961585998535,0.2662345767021179
ssv2,125148,corrected,0.4,8,2.174877166748047,0.26027777791023254
ssv2,125148,corrected,0.4,12,2.1841928958892822,0.2630302309989929
ssv2,125148,corrected,0.4,16,2.0444531440734863,0.20178000628948212
ssv2,125148,corrected,0.4,24,1.9746977090835571,0.2261960655450821
ssv2,125148,corrected,0.4,32,1.9055376052856445,0.2297358214855194
ssv2,125148,corrected,0.8,2,2.2540817260742188,0.2718696594238281
ssv2,125148,corrected,0.8,4,2.235466957092285,0.26904231309890747
ssv2,125148,corrected,0.8,6,2.218419313430786,0.26623886823654175
ssv2,125148,corrected,0.8,8,2.154437780380249,0.25991523265838623
ssv2,125148,corrected,0.8,12,2.1512889862060547,0.2631821930408478
ssv2,125148,corrected,0.8,16,2.0058305263519287,0.203353151679039
ssv2,125148,corrected,0.8,24,1.9170646667480469,0.2274930477142334
ssv2,125148,corrected,0.8,32,1.904179334640503,0.23105807602405548
ssv2,125225,pure,0.0,2,2.224379777908325,0.27856749296188354
ssv2,125225,pure,0.0,4,2.223659038543701,0.37173324823379517
ssv2,125225,pure,0.0,6,2.187877893447876,0.3294007480144501
ssv2,125225,pure,0.0,8,2.136777400970459,0.2605384290218353
ssv2,125225,pure,0.0,12,2.087825059890747,0.3933711647987366
ssv2,125225,pure,0.0,16,1.8328527212142944,0.3745390772819519
ssv2,125225,pure,0.0,24,1.7019157409667969,0.35929495096206665
ssv2,125225,pure,0.0,32,1.6860980987548828,0.32763996720314026
ssv2,125225,pure,0.05,2,2.2244644165039062,0.2785697281360626
ssv2,125225,pure,0.05,4,2.2237510681152344,0.371732622385025
ssv2,125225,pure,0.05,6,2.187857151031494,0.32939988374710083
